ura,krog,cas,rezina,Grams,MilliLb,Size in mm Fill Initial size !,450nm,500nm,550nm,570nm,600nm,650nm
13,1,54,1,837,1845,122,4025,5392,8562,7272,7372,4439
13,1,54,2,822,1812,122,4082,5233,7156,6231,6071,4060
13,1,54,3,816,1798,122,4816,6451,9034,7823,7866,5153
13,1,54,4,830,1829,122,4057,5045,8089,6835,6940,4306
13,1,54,5,838,1847,122,4497,5728,8653,7220,7320,4600
13,1,54,6,819,1805,122,4442,6044,8653,7623,7356,4858
13,1,54,7,824,1816,122,3799,5342,7699,6674,6397,4261
13,1,54,8,836,1843,122,4935,6480,8968,7708,7475,4797
13,1,54,9,832,1834,122,4697,5986,8572,7251,7143,4514
13,1,54,10,859,1893,121,4897,6506,9907,8439,8376,5200
15,2,52,1,834,1838,122,4030,5396,8568,7272,7375,4441
15,2,52,2,834,1838,122,4084,5226,7153,6228,6072,4060
15,2,52,3,834,1838,122,4817,6450,9026,7819,7862,5152
15,2,52,4,843,1858,122,4061,5050,8095,6839,6944,4312
15,2,52,5,831,1832,122,4506,5739,8659,7225,7325,4604
15,2,52,6,833,1836,122,4446,6058,8658,7632,7356,4863
15,2,52,7,837,1845,122,3802,5350,7725,6692,6411,4263
15,2,52,8,844,1860,122,4938,6484,8967,7708,7469,4799
15,2,52,9,831,1832,122,4690,5971,8558,7242,7135,4501
15,2,52,10,863,1902,121,4929,6549,9986,8481,8430,5221
17,3,50,1,847,1867,121,4031,5394,8571,7275,7375,4442
17,3,50,2,828,1825,122,4083,5224,7149,6225,6069,4058
17,3,50,3,846,1865,122,4811,6448,9021,7813,7856,5150
17,3,50,4,844,1860,122,4062,5056,8094,6841,6944,4315
17,3,50,5,840,1851,122,4517,5746,8666,7233,7331,4609
17,3,50,6,831,1832,122,4434,6047,8639,7617,7341,4863
17,3,50,7,848,1869,122,3829,5340,7727,6681,6405,4259
17,3,50,8,838,1847,122,4944,6493,8975,7716,7471,4806
17,3,50,9,845,1862,122,4698,5987,8568,7252,7141,4510
17,3,50,10,855,1884,121,4921,6548,9984,8476,8422,5220
19,4,48,1,844,1860,122,4002,5371,8535,7247,7334,4423
19,4,48,2,844,1860,122,4081,5214,7142,6219,6065,4054
19,4,48,3,836,1843,122,4684,6448,9029,7814,7855,5148
19,4,48,4,832,1834,122,4062,5059,8094,6841,6946,4317
19,4,48,5,843,1858,122,4527,5757,8675,7242,7339,4614
19,4,48,6,848,1869,122,4421,6036,8621,7605,7326,4858
19,4,48,7,827,1823,122,3830,5353,7764,6715,6427,4267
19,4,48,8,836,1843,122,4954,6502,8986,7723,7469,4817
19,4,48,9,844,1860,122,4710,6010,8585,7268,7152,4524
19,4,48,10,858,1891,122,4923,6551,9997,8482,8433,5221
21,5,46,1,837,1845,122,4020,5383,8557,7262,7354,4432
21,5,46,2,843,1858,122,4077,5206,7139,6216,6061,4046
21,5,46,3,847,1867,122,4810,6449,9032,7812,7850,5146
21,5,46,4,846,1865,122,4058,5047,8090,6832,6943,4307
21,5,46,5,852,1878,122,4533,5756,8679,7242,7343,4610
21,5,46,6,851,1876,122,4418,6031,8614,7599,7316,4851
21,5,46,7,843,1858,122,3850,5335,7784,6720,6435,4254
21,5,46,8,850,1873,122,4951,6499,8988,7725,7467,4813
21,5,46,9,855,1884,122,4697,5997,8577,7257,7136,4511
21,5,46,10,875,1929,121,4918,6547,9986,8469,8426,5218
25,6,42,1,862,1900,122,4012,5381,8554,7258,7345,4430
25,6,42,2,841,1854,122,4071,5192,7129,6204,6054,4041
25,6,42,3,855,1884,122,4813,6455,9031,7813,7848,5148
25,6,42,4,845,1862,122,4071,5065,8101,6846,6951,4318
25,6,42,5,843,1858,122,4541,5766,8689,7250,7350,4615
25,6,42,6,850,1873,122,4427,6048,8625,7611,7325,4861
25,6,42,7,859,1893,122,3868,5370,7833,6767,6481,4277
25,6,42,8,847,1867,122,4961,6510,9002,7736,7473,4823
25,6,42,9,857,1889,122,4712,6021,8598,7276,7150,4527
25,6,42,10,866,1909,121,4922,6551,10002,8475,8436,5222
27,7,40,1,849,1871,122,4016,5388,8567,7266,7351,4435
27,7,40,2,847,1867,122,4069,5188,7124,6199,6048,4040
27,7,40,3,853,1880,122,4818,6458,9042,7818,7850,5151
27,7,40,4,848,1869,122,4060,5049,8095,6836,6947,4309
27,7,40,5,857,1889,122,4537,5773,8698,7257,7352,4617
27,7,40,6,845,1862,122,4432,6052,8620,7606,7321,4861
27,7,40,7,850,1873,122,3895,5409,7861,6802,6496,4287
27,7,40,8,854,1882,122,4977,6523,9024,7750,7484,4834
27,7,40,9,852,1878,122,4725,6035,8607,7284,7160,4531
27,7,40,10,878,1935,121,4924,6548,9997,8467,8432,5220
29,8,38,1,842,1856,122,4025,5396,8583,7272,7362,4440
29,8,38,2,853,1880,122,4071,5184,7125,6201,6047,4035
29,8,38,3,859,1893,122,4822,6458,9042,7817,7849,5151
29,8,38,4,839,1849,122,4050,5028,8094,6826,6949,4303
29,8,38,5,844,1860,122,4541,5790,8710,7266,7356,4627
29,8,38,6,854,1882,122,4432,6055,8617,7605,7317,4861
29,8,38,7,857,1889,122,3924,5439,7849,6818,6499,4298
29,8,38,8,859,1893,122,4988,6528,9042,7758,7489,4837
29,8,38,9,861,1898,122,4725,6043,8614,7289,7160,4533
29,8,38,10,872,1922,121,4924,6546,10016,8472,8438,5221
31,9,36,1,850,1873,122,4019,5395,8587,7273,7355,4435
31,9,36,2,856,1887,122,4075,5183,7117,6196,6043,4032
31,9,36,3,848,1869,122,4825,6454,9060,7826,7858,5153
31,9,36,4,854,1882,122,4053,5028,8111,6834,6966,4303
31,9,36,5,851,1876,122,4549,5809,8724,7272,7371,4626
31,9,36,6,853,1880,122,4430,6049,8611,7601,7312,4861
31,9,36,7,860,1895,122,3944,5487,7848,6848,6509,4310
31,9,36,8,863,1902,122,4993,6538,9057,7761,7490,4848
